target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
inf,127,0.05490940172915819,0.08542076762645477,,1.52587890625e-08,559.2942154963812
inf,128,0.054909391165009036,0.08542077147191572,,1.52587890625e-08,563.8890743851663
inf,129,0.054909389645262735,0.08542081389215686,,1.52587890625e-08,568.4863426645596
inf,130,0.05490938732263141,0.08542090630339037,,1.52587890625e-08,573.0847067594527
inf,131,0.054909377147977015,0.08542091916165044,,1.52587890625e-08,577.4069388906162
inf,132,0.054909373664030175,0.08542086604622101,,1.52587890625e-08,581.4452046434085
inf,133,0.05490937287070352,0.08542096795093627,,1.52587890625e-08,585.8425979177158
inf,134,0.0549093612097562,0.0854208674882689,,1.52587890625e-08,590.4365807175636
inf,135,0.05490935151539909,0.08542083696492261,,1.52587890625e-08,595.0504294037819
inf,136,0.054909352155795364,0.08542093021735067,,1.52587890625e-08,599.6473593672116
inf,137,0.054909349104354965,0.08542092637188968,,1.52587890625e-08,604.2362077871959
inf,138,0.054909345505710236,0.0854210076072524,,1.52587890625e-08,608.8470004916193
inf,139,0.054909332468388784,0.08542088226925944,,1.52587890625e-08,613.4565894722939
inf,140,0.05490933288177896,0.08542092480967123,,1.52587890625e-08,618.0504559318225
inf,141,0.054909324637871744,0.08542092204574618,,1.52587890625e-08,622.6385802348453
inf,142,0.05490931432940308,0.08542101890329395,,1.52587890625e-08,627.2254711548488
inf,143,0.0549093202865222,0.08542090053519895,,1.52587890625e-08,631.818855369091
inf,144,0.054909309141715344,0.0854210463022032,,1.52587890625e-08,635.8530971487363
inf,145,0.054909310056908654,0.08542095761625998,,1.52587890625e-08,639.7571867783864
inf,146,0.054909286883165605,0.08542103104053006,,1.52587890625e-08,643.6590436975163
inf,147,0.05490930420970826,0.08542098922114218,,1.52587890625e-08,647.557355260849
inf,148,0.05490928460832508,0.08542104017349983,,1.52587890625e-08,651.4554404298465
inf,149,0.054909290271530985,0.08542099054301942,,1.52587890625e-08,655.4770538091659
inf,150,0.054909280935604696,0.08542084225243139,,1.52587890625e-08,660.051519660155
inf,151,0.05490927318633178,0.08542096735008302,,1.52587890625e-08,664.6466861565907
inf,152,0.054909265482460085,0.08542087854396913,,1.52587890625e-08,669.2310450315475
inf,153,0.054909259542067705,0.08542085859564041,,1.52587890625e-08,673.8795449058215
inf,154,0.05490925215839417,0.0854209754015169,,1.52587890625e-08,678.5189099391301
inf,155,0.054909254311368255,0.0854210729800886,,1.52587890625e-08,682.9115760087967
inf,156,0.054909247618271366,0.08542107874828002,,1.52587890625e-08,686.8322781165441
inf,157,0.05490924115695961,0.08542083239843767,,1.52587890625e-08,691.2440344810486
inf,158,0.054909238275176436,0.0854208337203149,,1.52587890625e-08,695.1700555404027
inf,159,0.05490922761783526,0.08542092505001253,,1.52587890625e-08,699.0960975130398
inf,160,0.05490922468587174,0.08542084753994017,,1.52587890625e-08,703.0155703981717
inf,161,0.05490922069534265,0.08542095641455341,,1.52587890625e-08,707.1667261242868
inf,162,0.054909218324920635,0.0854210065257165,,1.52587890625e-08,711.7617811600368
inf,163,0.05490920650626385,0.08542108319459421,,1.52587890625e-08,716.3692512671154
inf,164,0.054909190666014164,0.08542083852714108,,1.52587890625e-08,720.96752144893
inf,165,0.05490920984683848,0.08542089861246846,,1.52587890625e-08,725.5225516200065
inf,166,0.054909194988689146,0.08542087001185264,,1.52587890625e-08,730.1420801877975
inf,167,0.05490918936610532,0.08542078925717267,,1.52587890625e-08,734.7283849080403
inf,168,0.054909176969180254,0.08542086232093067,,1.52587890625e-08,739.2780981620152
inf,169,0.05490918395380087,0.08542089404598363,,1.52587890625e-08,743.8406979640324
inf,170,0.054909177184238725,0.08542090341929466,,1.52587890625e-08,748.4267910520234
inf,171,0.054909166462380164,0.08542078865631937,,1.52587890625e-08,752.7787914594014
inf,172,0.05490916464155195,0.08542083828679978,,1.52587890625e-08,756.6776206811269
inf,173,0.05490916173348365,0.08542094211424553,,1.52587890625e-08,760.5856050411861
inf,174,0.054909155169421804,0.08542091074970459,,1.52587890625e-08,764.4939425865808
inf,175,0.05490913485356682,0.08542092240625812,,1.52587890625e-08,768.4027193387351
inf,176,0.05490914430419104,0.08542091820028523,,1.52587890625e-08,772.3635374983153
inf,177,0.054909130234589085,0.08542097540151691,,1.52587890625e-08,776.3565709670386
inf,178,0.05490913633269104,0.08542100736691106,,1.52587890625e-08,780.9429782748223
inf,179,0.05490913023219946,0.08542089308461838,,1.52587890625e-08,785.5341543237369
inf,180,0.05490911868356069,0.08542084814079344,,1.52587890625e-08,789.6817854881286
inf,181,0.0549091132330237,0.08542096855178956,,1.52587890625e-08,794.2855175813039
inf,182,0.054909113319047013,0.08542089224342378,,1.52587890625e-08,798.8706116159758
inf,183,0.0549090977583732,0.0854210341649671,,1.52587890625e-08,803.4577587485312
inf,184,0.054909099507515366,0.08542095449182296,,1.52587890625e-08,808.0499983906744
inf,185,0.05490909462807797,0.08542099691206409,,1.52587890625e-08,812.6439120690027
inf,186,0.054909092489441216,0.08542094620004778,,1.52587890625e-08,817.2313204566639
inf,187,0.054909081583588176,0.08542094475799994,,1.52587890625e-08,821.8212788820268
inf,188,0.05490907567664935,0.08542095040602067,,1.52587890625e-08,826.4105474710465
inf,189,0.05490907469454904,0.08542091459516556,,1.52587890625e-08,831.0130344033241
inf,190,0.054909068952488385,0.08542094812277823,,1.52587890625e-08,835.6035022219023
inf,191,0.054909061659617266,0.08542094295544009,,1.52587890625e-08,840.2018027186392
inf,192,0.054909061086128176,0.08542100159871964,,1.52587890625e-08,844.7970147490503
inf,193,0.05490905032842641,0.08542086147973614,,1.52587890625e-08,849.424907040596
inf,194,0.05490904379064948,0.08542093057786265,,1.52587890625e-08,854.023603828748
inf,195,0.05490903386450715,0.08542089308461834,,1.52587890625e-08,858.6096827626227
inf,196,0.05490903524088128,0.08542080884498933,,1.52587890625e-08,863.1967349569002
inf,197,0.05490904170936157,0.08542084225243135,,1.52587890625e-08,867.8012029290201
inf,198,0.05490903380715816,0.08542077784096043,,1.52587890625e-08,872.4009675105412
inf,199,0.05490902607700157,0.08542080680208823,,1.52587890625e-08,876.9725256085396
inf,200,0.05490902156316377,0.08542096086086766,,1.52587890625e-08,881.5641903122265
inf,201,0.054909012650185725,0.0854208972905913,,1.52587890625e-08,886.1453424970309
inf,202,0.05490901020568791,0.08542096999383741,,1.52587890625e-08,890.7591047008832
inf,203,0.05490900896312797,0.08542101397629709,,1.52587890625e-08,895.3512402733166
inf,204,0.054908997904344364,0.08542086568570904,,1.52587890625e-08,899.9239971518516
inf,205,0.05490900184947222,0.08542105219056527,,1.52587890625e-08,904.5296784241997
inf,206,0.05490899563667257,0.08542088347096598,,1.52587890625e-08,909.1269180814426
inf,207,0.054908988035550985,0.08542083347997359,,1.52587890625e-08,913.7062332749367
inf,208,0.05490896922749458,0.0854208837113073,,1.52587890625e-08,918.3095566193264
inf,209,0.054908974658915324,0.08542093983100307,,1.52587890625e-08,922.9087076187134
inf,210,0.05490896517961662,0.08542083696492256,,1.52587890625e-08,927.505840921402
inf,211,0.054908963201078936,0.08542092204574618,,1.52587890625e-08,932.0934028903644
inf,212,0.0549089425482988,0.08542118654135737,,1.52587890625e-08,936.6734339197476
inf,213,0.05490895772186739,0.08542096494666991,,1.52587890625e-08,941.2834005196887
inf,214,0.05490895027606588,0.08542098862028888,,1.52587890625e-08,945.8830281496048
inf,215,0.05490894552566362,0.0854209564145534,,1.52587890625e-08,950.1211262385052
inf,216,0.05490893641435391,0.08542100207940226,,1.52587890625e-08,954.0229049682615
inf,217,0.054908936158673226,0.08542089344513032,,1.52587890625e-08,957.9258980989456
inf,218,0.05490892424443504,0.08542088094738219,,1.52587890625e-08,962.462529317538
inf,219,0.05490892709276477,0.08542088791728017,,1.52587890625e-08,966.6507058382034
inf,220,0.054908922349530924,0.08542090233775873,,1.52587890625e-08,971.2467979391417
inf,221,0.054908919020904216,0.08542085342830227,,1.52587890625e-08,975.8315925240516
inf,222,0.05490891237320853,0.08542089392581292,,1.52587890625e-08,980.4558560689289
inf,223,0.054908904155586184,0.08542079995236093,,1.52587890625e-08,985.0494122068088
inf,224,0.05490890943646572,0.08542086965134069,,1.52587890625e-08,989.6468650976816
inf,225,0.054908890473089486,0.08542078360915181,,1.52587890625e-08,994.2375013430915
inf,226,0.05490888576091983,0.08542090053519892,,1.52587890625e-08,998.4446675817172
inf,227,0.0549088890321978,0.0854209631441101,,1.52587890625e-08,1002.7197879115739
inf,228,0.05490887662332517,0.0854209782856126,,1.52587890625e-08,1007.1035529494286
inf,229,0.054908872312597966,0.08542093370229974,,1.52587890625e-08,1011.0096967577934
inf,230,0.05490886456810405,0.0854209249298419,,1.52587890625e-08,1014.9084047834077
inf,231,0.054908863533434084,0.08542090149656417,,1.52587890625e-08,1018.809845495224
inf,232,0.054908868776081164,0.08542089849229784,,1.52587890625e-08,1022.7146345376967
inf,233,0.054908850751793366,0.0854210390919639,,1.52587890625e-08,1026.6239372809728
inf,234,0.05490884831446422,0.08542105988148717,,1.52587890625e-08,1030.5319257299104
inf,235,0.05490883720311082,0.08542105495449034,,1.52587890625e-08,1034.4330528656642
inf,236,0.05490883556866665,0.08542101758141671,,1.52587890625e-08,1038.3385623256365
inf,237,0.05490884111717456,0.08542099522967493,,1.52587890625e-08,1042.458977103233
inf,238,0.054908828746534584,0.08542097864612455,,1.52587890625e-08,1047.0500906030336
inf,239,0.05490882133657622,0.08542105122920007,,1.52587890625e-08,1051.6491773883502
inf,240,0.05490881413450757,0.08542111083384482,,1.52587890625e-08,1056.2553353746732
inf,241,0.05490881605091739,0.0854210910056868,,1.52587890625e-08,1060.8490097284316
inf,242,0.05490880429199908,0.08542107213889401,,1.52587890625e-08,1065.4420730670292
inf,243,0.05490881024194953,0.08542109172671074,,1.52587890625e-08,1070.0290623625121
inf,244,0.0549087875986842,0.08542096999383743,,1.52587890625e-08,1074.6174423098564
inf,245,0.05490879693938947,0.08542106372694816,,1.52587890625e-08,1079.1948550581933
